tic_id,astra_class,ra,dec,period,period_source,cadence_type,preprocessing_version,flux_1000_hash,flux_200_hash,folded_flux_1000_hash,folded_flux_200_hash,metadata_hash
100009973,eclipsing_binary,172.78904,61.40492,1.842314,catalog,long,phase6_preprocess_v1,e39567cdd191ad1c647aa7d05224d656cd9da06d4e5d1ca806dbdbcaeeba3315,302a15d5e0c82143065c9c895be5f53f9e7497150848e81a63bf59bdec99beb4,d081e7ae81f04b570f2641edc4c8e15a2a96af90ddb8cfe8dc909a125247d8f7,bcc3831b4098d8f560d119632c12ab7d02b44e46db0e843b1f2e47bf5be65c79,e8b1a0fbdbc2f1639d4b34ff48621f2ebcec24d47aff76da02fc1e063cd2e946
100010067,eclipsing_binary,172.70983,61.82847,4.54656,catalog,long,phase6_preprocess_v1,e11712d2f2a30810627ccc4b6abad3d5f2d9e964608f1940cf74174f326af583,4347c48d0e0bc5d50ba6a32e1f0c6e8b61f4037a5beec18247a8b4c133ebeb9b,2a49b7eea61221c7fca2116350ac19c4b1890fc43c2d0de74a32d069db610daa,13ad1052d6c21fef93a0d420e41ad6e3530a55bb0d2cdbc30659c5a1b26c62d4,514bff8539a57c815733d2ed31193b97b7c8f5bbf8fa4ea02a6ca53f5b0d4aad
100406081,cepheid,310.85079,35.58781,16.386332,catalog,short,phase6_preprocess_v1,27ed946dd6ce315d57e33b944157b5315eaecb91fecc1e9165aa06eeec13f951,ec1a6c3b2cea4dc541d2b7677377ccd531b386c25b532ad8fe24189b8c101f0a,fd6976c4b62f26ba7b445c41a1eac4d0a4360618cf2e0f98009f096994504ba6,cb5051a6f7d9d5fb54a1a69bb86c88e34de6601f80fa28c67e5bf2d489b834b8,21b0045ff98f16231ad526cc71ae7663f8f6f4a3c774f55acaf0f28f91401966
102064288,rr_lyrae,17.45606,-44.31485,0.4843964,catalog,long,phase6_preprocess_v1,6b8d0683813eea06f0eb4e7f07825428f0d20d5a26196ac1fd9d7509d64e5b08,79ead811eef7b60b46160b36c03b6c791ded7357e5879c44b8a68c1df600be94,cd3dd5e186cb950f95270fb337e400f400f73f4ae4f6bc35ba228fcf7bfd3ac4,fd39047e513373609cc96fb52de94d4a64504a4e74745d6f16eef93a010b1a7c,c661dae666131df3b900583f168f1b35afe50b2be5c272129458187f5c689bc2
102070925,rr_lyrae,17.49315,-42.12887,0.615605,catalog,long,phase6_preprocess_v1,41c9c8e55bdf9e79bf465b95b470d6e695bd8cc11ff88263f15806bfbbcd6b3c,2c6aed4ea1c133291bc8eec93a9c3a3238ea218766c5123fdbe650134c254e96,a57b4e8461006d9d31e77c33cfffb314a7f24bcdba89702b363caadc50c1a1d4,55c74ccc7b2dabb21b6c9d0ec059b5113041a8ba5755fb0a7559533435201fd0,64e67ff9d82996f0e5d0a3b8ffa8e869bd31a58a3330f91b4d8c4bd359a28192
102236050,cepheid,299.45425,30.26594,11.659717,catalog,long,phase6_preprocess_v1,73bfb898561a52167293381320c3cbe5a3eed695116df882990d8484a65bbf81,594ca97d7830beef51febb483b8218e5b7f8971a1bf910c430779b4c5cc779c1,24534260dd45dea2568f83aeb27b99b54423e2aae937d7b3ba26815f846385a2,f7e308d1866371fa45373725b6e0c533f88567ce44e32e4c3509a460d6515345,dbcc208be4c905aa587e54565ac10f91da20d3b11bbb7504e72311ba511112a2
102597455,cepheid,299.44208,35.636,6.22541,catalog,long,phase6_preprocess_v1,b007e40617c7c15610a355da65e8102bcd43b988c3e75a5878b4f2bf7f843176,c469fc9919119fa39368adf71d8dd41b0b404e46dbc7cb02ee58eab474c60f8d,5a83bffb91b68fe3fc058cc9d5d8757bf83e333d14a9cca3b0948f41f96f76b5,edb39981e14d664e1b148c65a8c956abe5fb7f8ab33a8fe44ca71ea5b7ff50ba,7b6051aa73c2c76382c9f8c2fb6677853686a5eb9b368a9e6a7020b6baf63246
104094250,cepheid,300.24244,33.21028,2.2270662,catalog,long,phase6_preprocess_v1,8c562d69f8a77cdb6f1d1d20241e6ea88479425f56d549afaa330094bb04a859,0aca67be2b6962edc5498f95cc35c18e3ade338c819041c0dd273f560c5ffeef,79203824d0aefec0317a2a126bf0874f319eb749f0e873e1d8713dc34b789c92,82e48cd98ae9a850f6624701d1984382b2f7fe4577e857c94206ab7495ba67d9,f08aa346d5c7bea265a7a864c760867eb93af4b1de39655ad9186695d2fbf3af
104447016,cepheid,300.36471,32.80334,3.84577,catalog,long,phase6_preprocess_v1,aeaf9ec5f6c4b8d45bddc45d32206d6bb4172f510c81e1d31366882d1debd56b,403b2f588928f7c5badd2fdc7106c936cce9390506218434130e7e1849ebfd34,c39e5f06a78f45ad10d3bfef29a36c93907fccaaa24d5494ccfdfae4f022a97c,f0832431ad9c4e3e31da5d1057d65742a5b3f7156912d63477fc9e47c40fcaf5,ed309a0c77359f723f50e5f7a1956a0796baaa7d0b0d3d9d6192283b5a5e82fc
104458555,cepheid,300.36731,31.61776,40.87,catalog,long,phase6_preprocess_v1,444f2223ec10714618ab4f03d8d587140496576641990f3f47d6a9c92472f4a1,268a11127a2851c94c13c1a5bfd0b4d09484aeaa16d3e9c7e84dd5661a423f9a,fbffcb0d85772c7143ed2a36c7ebaf196faf73e009dd458f5b0f4e5e5d56d9d5,3ae1e0db4633c5d8773bde4e528aadd6ed12d81d44fccb9650bb4810943b8713,b8b6a76e7c5b6e2e83486606fa3e2132f372d34dcb03296fd3b6d6be1f66b355
104661281,cepheid,300.59738,30.57316,5.6983842,catalog,long,phase6_preprocess_v1,8a5e6bb154f1a28418be2421ee956121e01d1a5d6d6374e23921ed983617d5ec,333b27122553a2c8d8e18ec42200e8506edb00e44fe2b9b185dfa3e68e7e934c,144e091b9c8b36bd5899a34f29e0bf4db28b36d99a06bffcf92744e358ba4109,3530dfc1a7a965a655dc2e404d2c38c0b4d27d6f6fa99d6948621f9ff56d3fad,c1c80b6163124b87533cbe125c704e8d30807484c2e498bd70f2d850c94c254e
106222137,cepheid,301.11067,34.11228,17.073967,catalog,short,phase6_preprocess_v1,7298e0e13311ad43ff3514940ecafa040e5f48633c6259e7997cf2c23fb9209b,c235403cbc95f070d80050bfa31724094b76d336800e6157f56dbd0b250510cd,d3b1028fd44c902373f135596af1e905e94a478fc7be0c1bbbe7dc1c860fef4c,be7502bfdc9680b08b7fc119cade455b917b52dd541f0ee2de2d9a5ba7db2cbe,bde99e22d4aa8a2508d8dfec292eadd02310e5bfa7535d7b55a10b3c4d042c03
10931356,rr_lyrae,42.48272,-1.42003,0.5481573,catalog,long,phase6_preprocess_v1,2f9b288d29892da367760c340f2897e1267ee2c8ac82881d401106e7464435a7,5c1a16d4c2c7386820d43f0b8fc2ce521ffa0006c97c04d5bb5b2cf59d61ea24,728ca9bc2185258d0ea9140878ce56e31fb4822f351a090f316b570c43c2b339,bd1b058f7545eeccb03b1200b3b629a0d60a94a1008c8c7ea60da1cdb8a95681,9c2e6369cf0b425a6205348d80f0275a50a4e0242a632dfcc2fd6eda2bed4b99
